Target_Team,Name,Current_Team,Primary_Pos,OPS_R,Starter_OPS_R,Predicted_RPR_Gain,Is_Upgrade
NYY,Jose Altuve,HOU,2B,0.826904327,0.738402262,0.056757917,TRUE
NYY,Trea Turner,PHI,SS,0.868716658,0.658736475,0.052494978,TRUE
NYY,Francisco Lindor,NYM,SS,0.806030741,0.658736475,0.042556066,TRUE
NYY,Jacob Young,WSN,CF,0.667355547,1.033663585,0.03042961,TRUE
NYY,Dansby Swanson,CHC,SS,0.788012023,0.658736475,0.027464327,TRUE
NYY,Willy Adames,MIL,SS,0.745628551,0.658736475,0.026278155,TRUE
NYY,Ketel Marte,ARI,2B,0.901257206,0.738402262,0.02495523,TRUE
NYY,Adolis Garcia,TEX,RF,0.769706109,0.713566339,0.020671974,TRUE
NYY,Nick Castellanos,PHI,RF,0.794289785,0.713566339,0.018819588,TRUE
NYY,Anthony Santander,BAL,RF,0.826869955,0.713566339,0.016767788,TRUE
NYY,Zack Gelof,OAK,2B,0.630990316,0.738402262,0.015063696,TRUE
NYY,Elly De La Cruz,CIN,SS,0.813716136,0.658736475,0.014894826,TRUE
NYY,Corey Seager,TEX,SS,0.920904671,0.658736475,0.014208673,TRUE
NYY,Nico Hoerner,CHC,2B,0.724178288,0.738402262,0.014034081,TRUE
NYY,Jonathan India,CIN,2B,0.795633555,0.738402262,0.013474296,TRUE
NYY,Bobby Witt Jr.,KCR,SS,0.907490112,0.658736475,0.013221859,TRUE
NYY,Bryce Harper,PHI,RF,0.937899984,0.713566339,0.01152701,TRUE
NYY,George Springer,TOR,RF,0.78019806,0.713566339,0.011443289,TRUE
NYY,Brice Turang,MIL,2B,0.655816121,0.738402262,0.010229363,TRUE
NYY,Julio Rodriguez,SEA,CF,0.759485764,1.033663585,0.009987764,TRUE
NYY,Gunnar Henderson,BAL,SS,0.907119005,0.658736475,0.008723465,TRUE
NYY,Brendan Rodgers,COL,2B,0.73633258,0.738402262,0.006506929,TRUE
NYY,CJ Abrams,WSN,SS,0.752451115,0.658736475,0.006265113,TRUE
NYY,Ezequiel Tovar,COL,SS,0.738864673,0.658736475,0.005275293,TRUE
NYY,Jeremy Pena,HOU,SS,0.716609892,0.658736475,0.003490258,TRUE
NYY,Masyn Winn,STL,SS,0.727062078,0.658736475,0.003441629,TRUE
NYY,Luis Garcia Jr.,WSN,2B,0.785973612,0.738402262,0.002388648,TRUE
NYY,Bryson Stott,PHI,2B,0.703053395,0.738402262,0.002373843,TRUE
OAK,Marcus Semien,TEX,2B,0.790182053,0.630990316,0.133981273,TRUE
OAK,Jose Altuve,HOU,2B,0.826904327,0.630990316,0.112345287,TRUE
OAK,Brenton Doyle,COL,CF,0.772794716,0.759784225,0.0588073,TRUE
OAK,Julio Rodriguez,SEA,CF,0.759485764,0.759784225,0.051873407,TRUE
OAK,Ketel Marte,ARI,2B,0.901257206,0.630990316,0.039322902,TRUE
OAK,Cal Raleigh,SEA,C,0.714977247,0.73682097,0.026230131,TRUE
OAK,Jacob Young,WSN,CF,0.667355547,0.759784225,0.023562172,TRUE
OAK,Aaron Judge,NYY,CF,1.033663585,0.759784225,0.02080805,TRUE
OAK,Will Smith,LAD,C,0.85981591,0.73682097,0.020783638,TRUE
OAK,Tyler Stephenson,CIN,C,0.785587677,0.73682097,0.018336729,TRUE
OAK,Brandon Nimmo,NYM,CF,0.795526035,0.759784225,0.017607408,TRUE
OAK,William Contreras,MIL,C,0.816071941,0.73682097,0.016397908,TRUE
OAK,Logan O'Hoppe,LAA,C,0.677865446,0.73682097,0.015189505,TRUE
OAK,Jonathan India,CIN,2B,0.795633555,0.630990316,0.012290158,TRUE
